Sentiment,clean_text
neutral,agar tum apna sabar azmana chahty hai to rozy me pakistan ka match dwkh lo bus expressionlessface pakvwi
neutral,hadd hai gayi hai aaj tak suna tha but aaj mere sath hua to pata laga ki online shopping par trust nahin kar sakte 1 t co 8gpffuj3qy
negative,jala mat sticker bhej ke merr pass nahin hai
negative,main criminals ko maaf kar sakta nahin ye all grp si lte rk ke bhai bhatije in ke ristedar log kar rahe kyon ki ye log t co wbi4u589zj
negative,teri okat gaddaro ok talue chatne ki hi hai
negative,gujju in ko aadat hai paki pakai huyee khane ki last time anna se pakwa ke jo roti lee is baar soch rahe t t co bbbctlsjb5
positive,feliz cumplea os happy birthday to you my life mywife menukasimkhada mylife youarethebest birthday happy t co gafxr7pct4
positive,i like your pairing with jeetu bhaiyya very much both of you look awesome
neutral,nikamii following me hai tbe to aapka tweet dikha
positive,a very special thanks to you for inviting team talash on ptv ramadantransmission to speak about th t co leleq0kjxw
positive,dwara mantri mandal mein shamil hone par hamari aur se bahut bahut badhai shubhk t co dbzc9q67nr
neutral,uff kya acting hai bholey ji apki kamaal krdya aisa koi actor hi nahin abtk jo is charactr ok saat t co mo82shhotp
negative,kya chacha tirth bhraman karne ki umar main mc bc kar
neutral,sahab hindu vote bank hai muslim vote bank kabhi raha hi nahin agar yahi baat hai to aap kabhi hydera t co xfhxn7mtp4
positive,raja anna bdy celebration photos celebration with vetrimaaran sir velraj sir peter asuran final schedule
negative,attention to all godi media 5 sal tak gae gobar hindu muslim 3 talaq etc pe dabate ker ker desh ka kiya bhala kiy t co jsresmvufl
neutral,happy bihday morgan freeman my filmy duniya help line no 08866681188 2288 3388 4488 born 31 may 1943 t co hlimuovf8a
negative,lifetime ban karo godi media aur bjpigs aur wo saala shehzaad ko aapas main main discusssion karne do
neutral,wonder agar chapters on id pe pade hote toh shaayad yeh nahin puchte foldedhandsfoldedhands
positive,ashish sharma earned the module lightning experience basics nice work trailhead trailblazer toptrailblazers t co 3dlgoocspy
neutral,md 1k followers hogaye bhai abhee tak koyee akhalmand insan hame badhayee nahee diya hum bhee bjp ki tarah reverse direction
positive,hi hil omg ure so sweey thank you i love you gorgeous
negative,congress aur uske thikedaro ne veer savarkar ji ko gaddar ghosit krne me lge rahe gandhi jaiso ko des t co tvswswtdth
positive,bharat movie m besabri se intzaar hai jiska redheart
neutral,sir media ne decide kar hi liya hai ki congress mukt to debate bhi mukt hokr hi kar lo vese kaha suni gyi patrkar aks t co gf3ajddoa8
negative,sk1 jo log apne doston ko aftaari karwate hain unki passand ki shaadi hoti hai
negative,tumhare jaise dalal ke show me jake karega bhi kya tumlog anchor thodo hai bjp spokesperson ke jaise t co jda5gwo61u
neutral,sir ji iss humsafar train ki bhi sudh lijiye kabhi koi concession nahin top on it dynamic pricing bhi bad f
positive,happy birthday to you mahn more fire jamz yeyooo pbg e
neutral,good evening sir p m narendra modi ji i know that those person have red ration card only hai can take profit of thi t co ym0nxnmyy3
positive,670 uh are my oldie goldie dost cherryblossom uh are gem gemstone life me hmesha khush raho redheart cutest and loyal person ever hundredpoints hmne kaf t co sl37zlyj6m
negative,moin jaisa bakwas banda koi nahin newzealand kai clubs main jakar satta khelnai wala ban t co krkslbydfu
positive,all the best bhai maar ka khelo
neutral,chaudhri saab ka status khrab kar diya is tweet ne facewithtearsofjoy
positive,ji aap ka yashsasvi netrutva bharat ke leaye jaruri hai please aap iss samaye me cho t co mssehied1q
negative,abe chutiye bangaladesh aazad hai gaya phir bhi akal nahin aai tumhe t co nzewwxspik
positive,asf so beautiful for lo t co zntbptny39
negative,bsdk ke pakistani apne baap ko nahin jaan paye marege tu bhi bsdk tera thekedar bhi jo pa t co nbrcnqhvz3
positive,hey everyone follow her interactive newbie bomb tweets good humor bhot achi hai plis follow
neutral,go back manirul islam sir manirul islam ko bjp me maat lijiye vote ke pehle yeh bahut hindu ko mar t co kimcconf5d
neutral,abhi samajh aaye to thik warna badhao bhaichaara jiske pass chaara tak ok paise nahin unke sath t co pqpgzspiy6
neutral,aap bjp se nahin lad rahe the aap pure desh ok sath lad rahe thesainiko ko nicha dikhakar jo t co xipwrxummz
neutral,gupta ji aap iss bagule ke point ko nahin samajh payenge kyunki ye khud apne kaddu t co ad4vhysmn4
neutral,i was humming dheere dheere to myself during my exams i feel like i promoted the song better in college than you d t co xyw95pl4sc
neutral,madam ab to chunav khatam hai gaya hai ab to bjp ka prachar karna band kar do bahut support kiya modi ko t co gbpplsbe9f
neutral,13 12 jee shuru se woh tou beech main ananya ne aa ok demagh kharab kar diya tha ak tco sbtyhwhqcv
positive,happy bihday my love nikhil kisskiss god bless you my cuttipai couplewithheartcouplewithheartsmilingfacewithhearteyessmilingfacewithhearteyesfaceblowingakissfaceblowingakisssparklingheartsparklingheartblueheartblueheart t co 1ikp4jssak
positive,beamingfacewithsmilingeyesbeamingfacewithsmilingeyesbeamingfacewithsmilingeyes all credits my guru content provider jai modi ji jai bajrangbali speaknoevilmonkeyspeaknoevilmonkeyfacewithtearsofjoyfacewithtearsofjoy
neutral,gurram i am hoping not to loose this
negative,twitter aur phone chalane mein koi petrol fuelpump nahin lagta ik ko mat maaro pakistan has not too many to loose
positive,congratulations mene 21march ko aap ki jeet ki bhavishyavani ki thi
positive,waah mc is so cute t co sqbipoxdwx
neutral,here mujhe samajh nahin ata log is bache ko itna kyon charhate hain i mean kaafi bache hain j t co uluzhoyzit
neutral,worldnotobaccoday ji say no to cancer by saying no to tobacco t co zfwywqcay3 t co hu
negative,le wena tsamo fokotsa bano fihla ba e bethe ka harane nyana grinningfacewithbigeyes
positive,420 sunny568 bi2452 ok allah tumy hmesha khush rkhy aur aisy hai rho kyon
neutral,hye can you open your dm thankyou smilingfacewithsmilingeyes
negative,this is absolutely wrong is hisab se modi ko opposition ne election se pehla itna kuch bura bola wo bhi t co zhycqlmxvo
negative,kisi aik party ko itna follow karna ky os ky galat kaamo ko bi defend krny ki koshis t co 0upyzb992e
positive,notobaccoday sant rampal ji maharaj is acquainted with mangal knowledge and millions of families are living free of
positive,bcz my maa paa with me always 102 not out change my life my paa maa n you aur aap logo ki life ka journ t co jfb4kqvnxo
neutral,chokha restaurants kholne ka mtlb koi sense of responsibility nahin haikharab khana dete hai customers ko
positive,aaj boht samose khane ka mann karra hei facesavoringfoodfacesavoringfoodfacesavoringfoodfacesavoringfood love you ultimate akshay kumar smilingfacewithhearteyessmilingfacewithhearteyes t co qlqvqtnac9
positive,ugh i love them aap hamein ye eidi bhej ja eid per okay
neutral,hi mr pak pm aapane bola that ki modi jitege to ham phatake bajayage bajaye kya agar nahin bajaye to lagao re t co d6nqpze3ft
positive,what s your name me indiya everybody ohhhhhhhhh like india arie you sing facewithraisedeyebrow t co 0t6c1hru5j
neutral,bina soche samze engineering mat lena nahin to lene ke dene pad jaynege 12thboardresult
negative,sala tum harami log hinduo se itni nafrat kyo rakte hai kisi bi hinsha ko hindu muslman bna ke pesh kar t co y48srypr8j
positive,kya bat hai wah bohot khub aisee jajba har hindustani aur har bachon mein hona jarur hai jaihind bharat mata t co lhqwgbwqx7
positive,bahut moody hai aajkal hope all is well
neutral,ok that s looks great i take my words about khus v rooafza back rollingonthefloorlaughing
negative,you efficiency of anchoring a program is continuously deteriorating ab to dekhne ki himmat hi nahin t co wmgtryq25g
negative,girl001 koe khaas nahe meri aik choti cousin ka naam bhe yahe hai tb se yeh naam pasand hai mujhe
negative,ye godi media hai isko 1 saal purani vedio ab dikhai di kyon ok wo mahila thi agr purosh t co 5reuhuem8v
positive,dil se naman sir ji you are our really inspiration aap apni ek aawaj do hum karoro aawaj denge aa t co bavlwcdejb
negative,kabhi to accha socha karo band karo ye divide n rule
positive,kapil ji i am very biggest fan of you me rajasthan se mumbai gumne aaiya hu kya aap mje aapke t co ahrjydzw5w
negative,hadd hai gayi in logo ki haar ki samiksha karne ki bajaye ab media pe nishana agli baar to janata t co mf4r03h7c4
negative,duracharya tum kahena chahate hai ki hindustanis medias kutte ki dum jaisee hin jo kabhi sidhee nahin t co mbgabz1eck
negative,govt minister koi kam dhanda nahin kartay aisi website p hi minister paey jatay hein ch nab ki video b udher viral hai
positive,happy birthday my love you are my dream i love you so much tum hamesha khush raho bas yahi dua hai kabh t co cexkdmnbbo
positive,i appreciate your love for baazi and nawal youre so pure blueheart thanks for helping me winkingface good luck for exams
neutral,shahid dua to everyone yar kehne ki b zarurat nahin smilingfacewithsmilingeyessmilingfacewithsmilingeyes but kuch special person ok lye special si dua b hoti haina winkingface
positive,yes mam dream come true tukdetukdegang ko ye amitshah hi aazadi denge
positive,hai bahut sundar hai good night t co fxl1rnho6z
positive,most welcome thanks toh hamara bhi kehna banta hai kyunki aap daily basis pe apna precious time nikaa t co zk11wmblry
neutral,bharat my favorite being human bajrangi sultan salman khan film bharat 5th june dekhna na bhule t co swwsl0iqsf
positive,27th ramadan mubarak to you and your family may allha blessings upon you n your family
neutral,offical roop prash04 deepika006 snehal t co ufl91cgi0x
positive,aaj agar atal ji hote to bahut happy hote and hum sab bhi aur double happy hote
negative,20 se 25 students aaj mar gaye aur tum sale tatti media ko society ke samne usko joor joor se laana ke bajaye modi t co tu3phrppgn
neutral,nikhil apke hisab se jisko 100 copyright vote mile wahi pm hona chahiye bhai yahan democracy hai koe rajtantra t co 2tdmbkfzlv
negative,ye khud confuse thi kya bol rahi hai isko hi nahin pata hindu koi dhrm hi nahin hai is t co ploqzqepkp
positive,mehta001 chandigarhamritsarchandigarh reviews starstruckstarstruckstarstruckfirefirefire love you mere ustaad ji love you ji dher sara pyaar movie lyi sade
negative,rahul kami ye hai ki wo na mard hai tu hai kya ussko baacha dega kya harami saale t co i0ioev2cln
neutral,isay aur bilawal ko koi puchnay wala hai hakoomti machinary itni be bas kyon yeh aik mujrima hai is ki t co qrgzwbefpf
neutral,bluff abe chall hurrrr ye apni 2 kaudi ki advice na apne tl tak rakha kar dekha hai maine
positive,haha o bhai mujy pata mujy na btaa main just pyaar sy tujy tang krtaa tyrn sath e dil lgta meri jaan
neutral,ab agar sarkar rojgar nahin degi to aam public to pariwar palne ke liye kuch karega hi or kon se niy t co nwss7xeki7
positive,yeeeeee i want to see thanks
positive,dear mam jai shree ram is not only a sentence it is full of emotion full of respect this is t co mejae8m36r
neutral,ji ab kuchh achhe kaam bhi kar lo warna agle chunav me modi ji bhi nahin bacha payege kyon ki o ch t co 6nvhnpgruf
positive,ek ek mullo ko kutto ki tarah bhaga bhaga ke maro mc ko eid like a very dust and only samelee
neutral,a pora failsa parh patwari ik ne case lara hi nahin koi dna sample bhi nahin hua aur tum t co m2ou38cay0
negative,tmc aur congress ko khatam karne ke liye bjp ko aur ladai ki jrurt nahin hai ab ye apne aap hi khatam hai jayengi
positive,hi darpan we are excited for you to be a part of us let s choose a plan that best suits you and fill t co mjspkjfubu
negative,lora kurnay ja ri hay kalay coat ki badmashi ab nahin chalni yah iftikhar chootary wala drama apnay anda t co jllpnqove4
neutral,7 best android entertainment apps for movies tv shows bestkoditios kodi kodiaddons kodibuilds bestkoditips kodit
positive,support the team but our support is like this is a life line for the country like har gay t co xyiolc4gje
negative,jo sikh apane shabd ki kimat nahin janata wah aadmi nahin murda hotta hai agar sachch t co won4h3muok
neutral,mufazzal sumaya aimim mr t co vw8kz0yfwa
neutral,hi i m sad so please don t talk to me unless you re going to buy me coffee or tell me i m pretty bc i m half a second away
negative,rafique kameeny loogo ko justice system sy wessy hai nikal deena chaheye khud dafa hona bhi theek hy
negative,nsharif oyee gonglo corrupt insan maa ok janazay par nahin aya baap ko jail karwa di louta hoa paisa wapis t co li6oviufde
negative,bhai world cup one day hai ya text match ab tak ka sbse boring lowest score world cup
positive,g1 i ll b grinning from ear to ear we ll have a smile that will never fade trophytrophy come on you spurs trophytrophy we kno t co sibsi42ygk
positive,thegiftofeducation moving on the inspiration of singh jiinsan free coaching centers have been opened in
positive,sparklingheart good morning my rockstar papa ji sparklingheart rose please bless me more sewa sumiran parmarth ka bal flexedbiceps b t co jdwbgjeror
neutral,ovo vreme prebrzo prolazi ne moze ovo ovako
positive,hope for the best redheart bata pa kayo para magligawan crush crush muna hahahahahaha luvvv bothhhh relievedfacesparklingheart t co 2xzsjtlfsq
negative,gaddar loag bhi ajib hote hain khate hain ghar ki aur help karte hain padoshi ki ye abdulla mehbuba consress ki paidaish hai
positive,prediction about saint rampal ji as per nostradamus india sant will be ruling world by 2020 that sant is rampal ji maharaj
positive,insan1 birthdaycakebirthdaycake happy birthday birthdaycakebirthdaycake insan1 birthdaycakeshavediceicecream sister ji wrappedgiftchocolatebarcandyballoon papa ji aapko humesa khus rakhe foldedhands dhan dhan s
negative,kaya pak media channels ne b indian players ko invite kita hai bc tumhari gaa mai jiyada khujli hoti t co k9r9kpke9u
neutral,oh sheeat youre wearing the same nice blue hijaab allahumma baarik and did your tikka go tera on the same day as this
negative,krishna facewithtearsofjoyfacewithtearsofjoyrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing reporter chutiya hote hai pata tha but ye kuch jyaada hi hai gaya
negative,for pm mumtaz bano hindu ko dhamki de rahi hai bengal me hi nahin pure desh me hindu ka khoon garam hai chuka t co 3xodg7raat
neutral,and d uss t co fff5jqvkqa
negative,that tera baap ko darrpok mat bol halala product thoda izzat de tere jaise t co citsbaa79b
neutral,dear sir jin students ne kisi problem ki wajh se rrb je exam me shamil nahin hai paye unhe ek aur mauka diya jaye plzzz sir
negative,aam ke aam guthliyo ke dam neutralface t co zqwyik0ms8
neutral,contest code backhandindexpointingright 2q6cay join karo playerzpot me smilingfacewithhearteyes aur jeeto free paytm cash meri taraf se facesavoringfood lucky rank 7th 11th an t co mhp2ck52qa
neutral,aisee nahoosat phelai hai hamari team nay kay world cup mein teams one hundred say ooper janay ko teyar hai nae hain
neutral,sala surprised bjp did not invite its loyal troll so sorry
positive,phagist oh my my fida is a really good movie hindi mein dekhkar dimag kharab hai raha hoga but movie is t co wbidkx4yic
positive,sir we miss uhh from puri ek umeed jaagi thi ki aap jeetenge sir agli baar aap yahin se ladna odisha t co 14ksag1oic
negative,31 sang chal rahe hain dhoop ke kinaare chhaaon ki tarah stumbleduponthisone stillstuckhere maharashtra hai
positive,guru ji my advance badhai became fruitful jai hai will be meeting you in the course of time
positive,rose wedding diaries blossom loveyougesturefaceblowingakiss yo with my baby nephew prabir niece girl pranavi smilingfacewithhearteyes all time special and lovely kids and am th t co ybrffa56tb
negative,no ameer log hain vespa chalate hai mera to abhi tak chetak ka bhi naseeb nahin hua
positive,54 ahsan bhai meri taraf se best wishes di jye ja apnay bhai ko pakistangreenheart
negative,muslmaan to nahin dar rahe haa unko dara dara ke muslim vote ki rajneeti karne wale jaro t co 5eajwyepgc
neutral,modi phone tak nahin uthate nalayak ka darr hai unhe ki kahi ye humse paise na maang le maryam naw t co x8y17du9tx
neutral,media ka kaam hai logo ko desh bhakti sikhana or pakistan par debate karana or hindu muslim par debate krwana shay t co xe8r82jwx9
negative,fearless stare huh lick my ass the bitch is dheet and beghairat zardari thu gaandu hai t co kpxceyq7tv
neutral,aapne kaam kiya hai isse koi inkar nahin kar sakta lekin aapko vote isliye nahin diya kyuki aapne itne galat decisi t co 8ap3ascki7
positive,makin a bear sona for my bestie greenheart really liking the sketch so far i m scared to line color it now lol t co 9ico7py5xc
neutral,until and unless you dont hear mauka mauka song it doesnt seems that world cup has started maukamauka worldcup2019 worldcup
negative,jo sale khud mard n hai wo dusare ki maradangi ko lalakarate hain bhosari pahale ye bata ki black money ka tune jo l t co azjp1tc71g
positive,jinbts yoongis reaction to jin doing the freddie mercury ehoh chant was so pure and fond pleadingfacepleadingface yoongi got so excited for it purpleheartsneezingface hai a
positive,love you bapa jaan hbd ilyasattarqadri hbdilyasqadri allah apne habib ke sadqe aapka saya humare saroo pe qaim t co ybdwz6evke
negative,aise hi soch ke karan right wing ka har mehnat bekar jata hai mam gandhi desh ka prateek hai ja t co dpmgub8l7w
positive,a thank you lau good morning
neutral,what a leaders please go and take some classes of leadership tumse na hai payega somewhere t co nhgflap3rc
neutral,lanat un pe bhi honi chaayee jin ko allah ne itni khoobsorat shakal di hai lekin phir bhi is se khush na t co btthlmxvd4
positive,thegiftofeducation by following the teachings of stdr ji in many blocks free education centers we t co i3scxjaovy
neutral,shay londa why we get along so well facewithtearsofjoy
negative,ye fraud modi maha chor hai pata nahin mere desh ki janta ki basis per inhe vote kar t co igfkxz7zho
positive,respected modi ji sir aap india ok chor logo ok liye kari se kari saza nikaliye chalte firte bag t co bc6ljz3tp2
negative,tera kutty gadaar baap pori harami family ko public ok pesay pe world tours karwata raha salo sharam t co hkkcjt1eip
neutral,bollywood jabrafans get ready for your own world cup 9xjalwa brings new series where top bollywood stars will f t co 1gnwvmv9fy
negative,patrag sab she pahele tere gahr me kanon lago kar kiyo ke teri faimly par tera kabo nahin hai t co scfwme6s7m
positive,congratulations bhai ji abb hoga bhart orr hai p ka development mubarak ji apko bhuat bhuat
negative,jhooty pe allah ki billions lanat especially in ramadan
neutral,sir aapse contact kese karenge ani mo no
negative,ise bolo kalutosh bolta hai ye congress ja kutta hai
negative,m krk chutiye ka sabse bada mad fan hu uski chutiyapa ka na ki uski acting ka
positive,great person of tha world shree narendra damodar modi apko bahut bahut badhai aap desh ok t co wcefy9rxs9
neutral,adarsh please please please help me sir ji please mein apke pair padta hoon haat jodta hoon please meri help t co kkfspvcoka
negative,hinduo ko gulf countries se dhhaka aur pit pit kar bahar nikal dena chahiyea
neutral,manmohan modi kuch bol bhi le bc t co ugfam83dbu
negative,raul khan ki umra to 49 yrs hi hai aur desh 1947 me hi azaad hai gaya thhaa phir is ghonchu ko british raaj kaise yaa t co yvhjwtiou4
negative,dxbrealestate tu muslim hai kya jo quran padha hua hai mulla tera naam daud choudhary to nahin squintingfacewithtonguesquintingfacewithtongue
positive,hey the mother of my future three little princess inshallah we all are missing you alot please come back i can t co peqckyadug
positive,13 years of pudhupettai a true cult classic from the master film maker will always feel proud to hav
neutral,kewal rjd hi nahin sare pratipakshi ko yedi majbut hona hai to jativad tatha parivad bad se alag chalna hoga varna a t co g9kot7ljpm
negative,sp ullu ki patthi jyada chillaegi to sans fool jaegi vaps pakistan bhag bhi nahin paegi ab khatir t co f1ua685f5i
negative,congress ko chor ka nara lagane ki khuch to saza ishwar dainge hi janta ka jawab hi de pa rahe hain y t co ljczk5iux3
positive,mashallah aaj pakistani team ne batting bohat a6i ki aur 349 ka target diya bowling to wese bhi pakistan ki bohat mazboot hai dua kare
neutral,baloo haha jaha ok nde inte igen dig mb grinningfacewithsweat
neutral,welfareatitsbest dera sacha sauda pujya guru ji ki prerna par chalte hue dera anuyayi jaha insa t co adcsgxaklc
neutral,over react kaha ta mny simple apki bt ko neglect kia ok r btaya ok me copy paste nahin krti r kru b to bta dti hu simple
negative,jaise tere khabees baap ne purani tasweer laga li aur teri maa bi soch ri hai wo bi 25 saal ki hai gai hai aur kahin t co 9lh3cw4nxx
positive,ki kami o allah allow happiness to surround us make us forget what made us cry and what made us sad amen cherryblossom jumma mubarak to al
negative,sharam ka muqaam chor khaandaan laanat handwithfingerssplayedmediumlightskintonehandwithfingerssplayedmediumlightskintonehandwithfingerssplayedmediumlightskintone bajaye iss ok apnay baap ki chori t co bspbs9jkb2
neutral,apki personality aur avi ke hisab se apkoo kya hona chahiy drop your name ill tell you grinningsquintingface 1 doctor 2 hafiz e quran 3
negative,ez1403 chutiye google pe editing nahin ki hain tumhare dimag ki hard disk me jehad naam ka virus t co h7pp8tvy1p
negative,kahan mar gaya hai opposition wala asad umer aur tabaadli ly ka anay walon pata chala hai tabaadl t co jsjrtzm9bk
neutral,jb l p ji price hike hone se public ko koi problem nahin hoti tb ab india ki total problem solve smjho
positive,ji apko sabse pahle badhai ji me eak school director hu lekin aaj mera school band hai gaya hai me t co zhndomcjoc
negative,aaya result desh ka pappu toh fail hai papu ok saatgathbandhan toh fail hai bua bhateja eka bandhan fail hai didi t co 9uyrwkvpib
negative,flim industries ne bharatiye sanskrti sabhyata ko khatm ker diya salaman hai yadusara koi yaha sex koi t co d7hjzx8eud
positive,insan good evening guru pita ji dhan dhan satguru tera hi aasra pagefacinguppagefacinguppagewithcurlpagewithcurlpagewithcurlfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands bless me for everything guru
positive,jnu has always been contributed best in each genre of the developing nation congratulates our alumni smt
negative,ajj kal tatkal ke naam par ralilway janta ko dhokha de rahi hai pata nahin kaun ticket nikal leta hai t co rwsfw6xk8t
positive,sunoo you iz so intelligen m i am proud of you facewithtearsofjoy
neutral,inc 28 t co vmgtam4lay
neutral,ab evm indirectly bachhon ki jagah direct jawan aadmi paida karne laga jo vote de sake world best t co l00lv9q7eg
positive,patra sir you r our role model salute to you sir an esm stay with full josh janta apke saath hai sir jai sri ram
negative,5 saal se tu b to aashutosh congress ka pichvada hi chat raha hai apne aap ko ptrakar mt bol congressi bol ye suit krta hai tuje
negative,chutiya tera time kabhi nahin aanewala aur apni chamchi ko t co byjdrpnewy
neutral,ok you re up what s your pick for best episode for people to watch in an effort to saveapbio bingebio
positive,keh ke liya hai is an mp from bangalore south and we are proud of him hai won with a margin of 3 4 lacs t co jwuw9b9gkr
neutral,kadi ninnda karte hain iske alawa hame kuch sikhaya nahin shakaon me sorry iski bh t co mvo2szp5vt
positive,jaisi tumhare captain ki sakal hai same waisa hi performance diya hai aaj pakistan ne clappinghandsclappinghands
negative,shayad paise abi tk nahin mile dalal media ko tbi aise baat krehe hain koi baat nahin paise j t co vywbsjsd8r
neutral,ondisa moses t co zyjc16xqpu
neutral,pakiatan me kitna hai t co gsxpbf7llo
negative,tu ek chiz mere se likh ke lele tu kabhi india ka pm nahin ban sakta hai lallu ye new india t co cajsn9gbv0
neutral,iss admi ke zindegi ka ekhi target election result jo bhi hai zidegi me larkiyo ki kami nahin honi c t co gjjwnu3ljv
positive,tera ghum mera ghum hum sab ka ghum 1 hai in sha allah hum zaroor comeback kara ja halka nahin lena pakistani team ko e t co y3rjevn4qi
positive,modi jee ke kabinet me aapka kami hamesha dikhega aap ek bahut bahut achhe videsh mantri ke tor desh t co eg0sjkxmz3
positive,we get that here with dhokla fafda i dont know what it goes with but i just eat it as is i love it beamingfacewithsmilingeyes
positive,chal chaiyaan chaiyaan my fav dance track lil bit on this hope so you love this smilingfacewithhearteyes love you sir t co
neutral,hambe par haryanvi likhni na aave mene bas thodi samjh ske hu this the best i cud try facewithtearsofjoy
neutral,jhoot jhoot khula jhoot akal ka andha hona to samajh me ata hai lekin aankh hone t co agwjo5ivo5
positive,pratap chandra sarangi a foot soldier won from balasore odisha took oath as mos okhandokhand proud moment for every ka
negative,you cant not love smilingfacewithhearteyes t co seoedadovw
negative,i m so fckn pist i lost my damn ysl shades
positive,isme tera ghata mera kuvh nahin jaata facewithtearsofjoyfacewithtearsofjoy best wishes lol kissmark t co mel9cnpqeq
positive,we cant put into words how much we love this man no one has ever deserved anything more lfc redheart t co syn9vny
neutral,agar ye bjp wale aise hi sab party ok logo ko even sab party ok ghatiya logo ko aise hi apne part t co qi9m7ejphw
positive,i am proud of you my country pm narendar modi ji t co 1btuwqanpk
positive,shri narendra modi ji aur naveen patnayak ji ko jeet ki bahut sari subhkamnaye umeed hai ki modi ji farmer ke liye t co fbpnhf4kl3
neutral,ravidubey sir apki 3 dev movise ka kiya hua trailer dekh liya wah kamal trailer hai magar movie nahin kabhi tv par t co ernlgxyved
negative,mera bs itna kehna hai ki jb muslims ko alag desh mila unhone itna bada hissa le liya t co xmpxwwmu9s
negative,suparbhat ek khubsurat din kafi intjaar ke baad isi umid ke saath ki hm ek majbut government chune hae or hmara t co 2894co19ry
negative,democracy is in sale to phir chor kon ha bhai jo tmc log bjp mn shamil hore ha jis ko tum gali dete the t co f35cuo77fo
neutral,sir ye congress logo change kar do kyoki election harne ke bad ye tiranga dustbin me jata hai or pata nahin
negative,is bsdwale ne kabhi ye bataya ki jo kisano ka karz maaf hota hai binaa bhage uska socialisation of loss hota hai ki nahin
neutral,siddiqui kamalnath ko tag nahin kar rahe kyunki secular govt hai waha pe nahin sidhe modi ko tag karta dara hua muslim shahid siddique grinningfacewithsmilingeyesrollingonthefloorlaughing
neutral,this painting has 40 famous indian ads hidden in it 1 which is tne favourite symbol of an ad you can spot 2 anyone ok
neutral,dear rahulgandhi opposition ke leader toh ban jayoge na regards aapka entertainment ka ek saccha fan t co brwmhixgag
positive,meam aapne videsh mantralay bahut hi confidence se aur bahut achhe se chalaya thanks
negative,tere jaise gaddar par 1000000 baar lanat harami sale humara hi khate hai or humi par gurate hai nonsense teko t co alwmuhloah
positive,bstpyp devpriya official oum ji
negative,aurr allah ka yahi azab tu uss pay nazal hua hai marty howy apni biwi ko nahin daikh saka bety uss ok t co 1wr4likjjh
positive,lamberghini ox chalayi jaane o beamingfacewithsmilingeyes love the edition of this song okhandredheart lamborghinis new edition of car ox lamborghinicar smilingfacewithhearteyesredheart hai
neutral,smriti irani ne amethi ki neev me jo eent 2014 me rakhi thi uspar 5 saal kaam kiya aur wo 2019 me asli kaam dikha ji t co opxbd2w1k5
positive,chaleaana song sung by me please if you have little time then watch this video very beautiful son t co iylhxpldnd
neutral,prediction about saint rampal ji mahan sant bharat mein janme lega jo prakritik parivartan be kat skta hai t co g85dvhrlla
negative,aaj ye khabar pad kar insaaf se bharosa uth gaya study ka koi matlab nahin reh gaya paper leak hua hai apni galti t co s1o4ez2z6c
negative,soul ye salman logo ka phir chu ya katega bc sala trailer aur gaane khi se bhi period drama nahin lag rahi hai
neutral,fauj par hath to dalo wo phir btaye gi apko fauj ki to badmashi hai is t co tjqmjbtqay
negative,ye shatriye nahin talwe chaatne wale badhwe hai kewal uch nich jaat paat aur tushtikaran kisi b t co dsrcmibu2j
negative,r7 bukhari tv bhi nahin torte champions trophy harne ke bad jo toray thay woh kya thay phir
positive,thik thak hai its nothing great honestly was really excited during the first 20mins n then petered out
negative,modi sarkaar aane se liberal samaaj me shok ka vatavaran koi kuch nahin likh raha rw wale pareshan rw wale apna gussa rw w
neutral,uske bete ne bataya results are on may 30
negative,nahin ji ham aap ki trha nahin hai ptwari ki olad ham pakistani hai aur pakistan sy pyaar krty hai t co exmydngpoy
positive,rahul ji desh ko aap ki jarurt hai aap ok apno ne desh ko sich sich ok es layk banaya hai hum jroor ok t co a0oal0lxt1
neutral,ahmed akram bohot serach kiya hai kuch nahin milta 1 saal hogaya hai dimagh kharab kardiya mera ab personal info t co 22infgiakt
positive,is just start guys dont give up be like a tum jeetoo ya haroo hume tum t co esl29mzeco
negative,bollywood s cool and all but that clear blackface and cultural appropriation in om shanti om not at all cool
positive,lucky fan at mannat with king khan after hai delivers a box full of king of fruits mangoes directly in the hands o t co ihnpklms8w
positive,thanks sir we all were there in funeral apko cabinet minister banne per honable pm sahaib ka bahut bahut abahar va aapko b
neutral,rahul kya itna buraaaaa hun main maaa t co 7srjvzodbm
negative,usmanpak pakistan ke dushman pakistan ke andar hain un ko pakro aur un ko tun kar rakh do pakistan ke wajood ko t co dc8zxucmki
neutral,aaj neutal patrakar kahan gaye jaise vinod sharma or ambe dube or urmilesh janta ne jo mandate diya hai modi ko t co igz8f4ohle
neutral,leee smilingfacewithhearteyes comelnya youuuuu hehehehe yes im from johor huggingface hahaha im a shy shy cat person so im sorry if t co bacxh8d6jq
neutral,777 tco kb6sjdtqol
neutral,rushna logon ok chor janey ki baat kartey hai sahib hamain tou cheezon ok tootney ka gham hota hai rushna hussain rushna wri
negative,hindu aukat dikha di logo ne is antinationalist ko shoot kar ke aazadi deni cahiye
